횡단보도ID,seed,veh_per_hour,ped_lambda,elderly_ratio,ped_count
23040,42,915.395991994981,487.0,0.1901991313611407,234
23040,43,1009.0334919949811,426.0,0.1901991313611407,219
23040,44,1045.370991994981,161.0,0.1901991313611407,83
23040,45,1103.383491994981,387.0,0.1901991313611407,175
9494,42,915.395991994981,487.0,0.1998197792295562,234
9494,43,1009.0334919949811,426.0,0.1998197792295562,219
9494,44,1045.370991994981,161.0,0.1998197792295562,83
9494,45,1103.383491994981,387.0,0.1998197792295562,175
6122,42,610.2639946633208,487.0,0.2946596858638743,234
6122,43,672.6889946633207,426.0,0.2946596858638743,219
6122,44,696.9139946633208,161.0,0.2946596858638743,83
6122,45,735.5889946633207,387.0,0.2946596858638743,175
6213,42,1830.791983989962,487.0,0.2946596858638743,234
6213,43,2018.0669839899622,426.0,0.2946596858638743,219
6213,44,2090.741983989962,161.0,0.2946596858638743,83
6213,45,2206.766983989962,387.0,0.2946596858638743,175
71666,42,610.2639946633208,487.0,0.1781831582826607,234
71666,43,672.6889946633207,426.0,0.1781831582826607,219
71666,44,696.9139946633208,161.0,0.1781831582826607,83
71666,45,735.5889946633207,387.0,0.1781831582826607,175
125895,42,915.395991994981,487.0,0.1998197792295562,234
125895,43,1009.0334919949811,426.0,0.1998197792295562,219
125895,44,1045.370991994981,161.0,0.1998197792295562,83
125895,45,1103.383491994981,387.0,0.1998197792295562,175
8430,42,915.395991994981,487.0,0.1998197792295562,234
8430,43,1009.0334919949811,426.0,0.1998197792295562,219
8430,44,1045.370991994981,161.0,0.1998197792295562,83
8430,45,1103.383491994981,387.0,0.1998197792295562,175
9628,42,915.395991994981,487.0,0.1901991313611407,234
9628,43,1009.0334919949811,426.0,0.1901991313611407,219
9628,44,1045.370991994981,161.0,0.1901991313611407,83
9628,45,1103.383491994981,387.0,0.1901991313611407,175
8340,42,457.6979959974905,487.0,0.1781831582826607,234
8340,43,504.51674599749055,426.0,0.1781831582826607,219
8340,44,522.6854959974905,161.0,0.1781831582826607,83
8340,45,551.6917459974904,387.0,0.1781831582826607,175
6511,42,610.2639946633208,487.0,0.2357627618766598,234
6511,43,672.6889946633207,426.0,0.2357627618766598,219
6511,44,696.9139946633208,161.0,0.2357627618766598,83
6511,45,735.5889946633207,387.0,0.2357627618766598,175
6428,42,457.6979959974905,487.0,0.2946596858638743,234
6428,43,504.51674599749055,426.0,0.2946596858638743,219
6428,44,522.6854959974905,161.0,0.2946596858638743,83
6428,45,551.6917459974904,387.0,0.2946596858638743,175
5831,42,457.6979959974905,487.0,0.1901991313611407,234
5831,43,504.51674599749055,426.0,0.1901991313611407,219
5831,44,522.6854959974905,161.0,0.1901991313611407,83
5831,45,551.6917459974904,387.0,0.1901991313611407,175
